rank,symbol,company,market_cap,sector
400,MAA,Mid-America Apartment Communities Inc,$15.60 Billion,Real Estate
401,FFIV,F5 Networks Inc,$15.55 Billion,Technology
402,TRMB,Trimble Inc,$15.54 Billion,Technology
403,DECK,Deckers Outdoor Corporation,$15.39 Billion,Consumer Cyclical
404,INVH,Invitation Homes Inc,$15.17 Billion,Real Estate
405,BALL,Ball Corporation,$15.14 Billion,Consumer Cyclical
406,SMCI,Super Micro Computer Inc,$15.04 Billion,Technology
407,VTRS,Viatris Inc,$14.85 Billion,Healthcare
408,NDSN,Nordson Corporation,$14.77 Billion,Industrials
409,MAS,Masco Corporation,$14.51 Billion,Industrials
410,AVY,Avery Dennison Corp,$14.51 Billion,Consumer Cyclical
411,LYB,LyondellBasell Industries NV,$14.32 Billion,Basic Materials
412,HAS,Hasbro Inc,$14.25 Billion,Consumer Cyclical
413,RL,Ralph Lauren Corp Class A,$14.11 Billion,Consumer Cyclical
414,ALLE,Allegion PLC,$13.80 Billion,Industrials
415,AKAM,Akamai Technologies Inc,$13.64 Billion,Technology
416,TYL,Tyler Technologies Inc,$13.38 Billion,Technology
417,JNPR,Juniper Networks Inc,$13.18 Billion,Technology
418,ZBRA,Zebra Technologies Corporation,$13.10 Billion,Technology
419,CF,CF Industries Holdings Inc,$13.09 Billion,Basic Materials
420,NWS,News Corp B,$13.07 Billion,Communication Services
421,CLX,The Clorox Company,$13.04 Billion,Consumer Defensive
422,OMC,Omnicom Group Inc,$13.02 Billion,Communication Services
423,BBY,Best Buy Co. Inc,$12.85 Billion,Consumer Cyclical
424,HST,Host Hotels & Resorts Inc,$12.84 Billion,Real Estate
425,IEX,IDEX Corporation,$12.79 Billion,Industrials
426,REG,Regency Centers Corporation,$12.64 Billion,Real Estate
427,ALGN,Align Technology Inc,$12.57 Billion,Healthcare
428,UHS,Universal Health Services Inc,$12.32 Billion,Healthcare
429,DPZ,Domino's Pizza Inc Common Stock,$12.26 Billion,Consumer Cyclical
